"","observed","predicted"
"123",0,2.22044604925031e-16
"124",1,1
"125",1,1
"126",0,2.22044604925031e-16
"127",0,2.22044604925031e-16
"128",1,1
"129",1,1
"130",0,2.22044604925031e-16
"131",0,2.22044604925031e-16
"132",0,1.30027084511254e-10
"133",1,1
"134",0,9.58554194757588e-14
"135",1,1
"136",0,1.3993521438073e-10
"137",1,1
"138",0,2.22044604925031e-16
"139",0,2.22044604925031e-16
"140",0,2.22044604925031e-16
"141",0,1.13410588620547e-10
"142",1,1
"143",0,2.22044604925031e-16
"144",0,2.22044604925031e-16
"145",1,0.306248893173095
"146",1,0.999999999528985
"147",1,1
"148",0,2.22044604925031e-16
"149",1,0.999999196126076
"150",0,2.22044604925031e-16
"151",0,1.24037886541455e-09
"152",1,1
"153",0,2.22044604925031e-16
"154",1,1
"155",1,1
"156",1,1
"157",0,2.52097051836739e-08
"158",0,7.59927119968038e-12
"159",0,3.86804058646972e-08
"160",1,1
"161",1,1
"162",0,1.2038177572352e-10
"163",1,1
"164",1,1
"165",1,1
"166",0,2.22044604925031e-16
"167",0,2.22044604925031e-16
"168",1,1
"169",0,2.22044604925031e-16
"170",1,1
"171",1,1
"172",1,1
"173",1,1
"174",0,2.22044604925031e-16
"175",1,1
"176",1,1
"177",1,1
"178",1,1
"179",0,2.22044604925031e-16
"180",1,1
"181",1,1
"182",0,1.22953847123917e-10
"183",0,2.22044604925031e-16
"184",1,1
"185",1,1
"186",1,1
"187",1,1
"188",0,2.22044604925031e-16
"189",0,2.22044604925031e-16
"190",0,2.22044604925031e-16
"191",0,2.22044604925031e-16
"192",1,1
"193",1,1
"194",1,0.990255015917918
"195",1,0.999999999980625
"196",1,1
"197",0,2.22044604925031e-16
"198",1,1
"199",0,2.22044604925031e-16
"200",1,1
"201",0,2.22044604925031e-16
"202",1,1
"203",0,2.22044604925031e-16
"204",1,1
"205",1,1
"206",1,1
"207",1,1
"208",0,2.22044604925031e-16
"209",0,2.22044604925031e-16
"210",0,2.22044604925031e-16
"211",0,1.28233581115461e-10
"212",1,1
"213",1,1
"214",1,0.978023698207541
"215",0,2.22044604925031e-16
"216",0,2.3752436996909e-12
"217",1,1
"218",0,1.28158836248092e-10
"219",1,1
"220",0,2.22044604925031e-16
"221",0,2.22044604925031e-16
"222",1,1
"223",0,2.22044604925031e-16
"224",1,1
"225",0,1.37281839979469e-10
"226",0,2.22044604925031e-16
"227",1,1
"228",1,1
"229",1,1
"230",1,1
"231",0,2.22044604925031e-16
"232",0,2.22044604925031e-16
"233",1,1
"234",0,2.22044604925031e-16
"235",1,1.71484174632319e-07
"236",0,2.22044604925031e-16
"237",0,2.22044604925031e-16
"238",1,1
"239",1,1
"240",0,2.22044604925031e-16
"241",1,0.979850807482126
"242",0,2.22044604925031e-16
"243",0,2.22359703252325e-12
"244",0,2.22044604925031e-16
"245",1,1
"246",0,8.73975815435108e-11
"247",0,2.22044604925031e-16
"248",1,1
"249",0,2.22044604925031e-16
"250",0,2.22044604925031e-16
"251",0,1.20232195371816e-10
"252",0,2.22044604925031e-16
"253",0,2.22044604925031e-16
"254",0,2.22044604925031e-16
"255",0,1.27099531171247e-10
"256",0,2.22044604925031e-16
"257",0,2.59508800263758e-08
"258",0,3.53719406142679e-08
"259",1,1
"260",0,2.22044604925031e-16
"261",1,1
"262",1,1
"263",0,2.22044604925031e-16
"264",0,2.22044604925031e-16
"265",1,1
"266",0,2.22044604925031e-16
"267",0,1.23393413801926e-10
"268",0,2.22044604925031e-16
"269",1,1
"270",0,2.22044604925031e-16
"271",0,1.22977997239772e-10
"272",0,2.22044604925031e-16
"273",0,2.22044604925031e-16
"274",0,8.32445941089928e-11
"275",1,1
"276",1,1
"277",0,3.25416428188844e-11
"278",1,0.983519508433628
"279",0,2.22044604925031e-16
"280",1,1
"281",1,0.999998986342497
"282",1,1
"283",1,1
"284",0,2.22044604925031e-16
"285",1,1.16889012357061e-07
"286",1,0.999999999987365
"287",0,2.22044604925031e-16
"288",0,2.22044604925031e-16
"289",0,2.22044604925031e-16
"290",1,0.980265807284061
"291",0,1.29904263803968e-12
"292",1,1
"293",1,1
"294",0,2.22044604925031e-16
"295",0,2.22044604925031e-16
"296",1,1
"297",0,2.22044604925031e-16
